Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOC AdjEM,SOC OppO,SOC OppD,NCSOS AdjEM
1,Duke,ACC,31-4,+34.19,121.0,86.8,74.5,-.027,+9.87,109.3,99.5,+6.66
2,Cincinnati,CUSA,31-4,+30.19,118.1,87.9,67.4,+.002,+6.58,106.5,100.0,+3.48
3,Maryland,ACC,32-4,+29.25,119.2,89.9,73.7,+.025,+9.88,109.4,99.5,+1.62
4,Kansas,B12,33-4,+28.99,118.7,89.7,77.3,+.022,+10.67,110.5,99.9,+8.32
5,Oklahoma,B12,31-5,+26.04,114.9,88.9,66.5,+.043,+8.77,109.2,100.4,-0.44
6,Indiana,B10,25-12,+24.80,114.0,89.2,65.6,-.049,+14.12,111.1,96.9,+13.54
7,Florida,SEC,22-9,+24.72,115.1,90.4,69.6,-.073,+9.11,108.3,99.2,-0.56
8,Illinois,B10,26-9,+23.21,115.7,92.5,68.5,+.016,+10.60,110.0,99.4,+6.79
9,Oregon,P10,26-9,+22.97,119.2,96.3,71.1,-.041,+8.15,108.3,100.2,-3.30
10,Kentucky,SEC,22-10,+22.21,113.4,91.2,68.0,-.029,+12.97,110.3,97.4,+6.75
11,Marquette,CUSA,26-7,+21.47,113.4,91.9,64.6,+.006,+5.41,105.7,100.3,-2.87
12,USC,P10,22-10,+20.67,112.8,92.1,70.1,-.051,+9.31,109.4,100.1,+1.90
13,Arizona,P10,24-10,+20.54,119.3,98.8,71.1,+.079,+14.22,111.5,97.3,+17.56
14,Kent St.,MAC,29-6,+20.39,116.7,96.4,64.7,+.008,+3.11,106.3,103.2,+2.99
15,Stanford,P10,20-10,+20.32,116.6,96.3,69.5,-.020,+10.33,110.4,100.1,+2.10
16,Pittsburgh,BE,29-6,+19.94,112.1,92.2,63.8,+.000,+3.12,103.9,100.8,-12.07
17,Ohio St.,B10,24-8,+19.76,116.4,96.6,66.8,+.005,+7.51,106.8,99.3,-1.26
18,Connecticut,BE,27-7,+19.36,112.2,92.8,68.7,+.063,+8.19,107.5,99.3,+1.73
19,Notre Dame,BE,21-11,+19.27,116.1,96.8,68.6,-.087,+7.34,105.6,98.3,-1.55
20,South Carolina,SEC,21-15,+19.18,107.0,87.9,65.3,-.074,+10.28,108.7,98.4,-0.78
21,North Carolina St.,ACC,23-11,+19.15,113.2,94.0,67.5,+.012,+8.28,108.8,100.6,-5.56
22,Alabama,SEC,27-8,+18.73,114.0,95.3,68.0,+.076,+8.59,107.4,98.8,-1.56
23,Xavier,A10,26-6,+18.60,111.2,92.6,67.0,+.051,+5.10,106.9,101.8,+5.37
24,Gonzaga,WCC,28-4,+18.51,115.6,97.1,68.5,+.049,+1.13,104.0,102.8,+4.04
25,Georgia,SEC,22-9,+18.44,116.7,98.3,69.2,-.021,+9.88,108.3,98.4,+3.30
26,Mississippi St.,SEC,27-8,+18.25,111.4,93.1,67.9,+.107,+8.93,106.9,98.0,-0.96
27,Texas,B12,22-12,+17.69,116.0,98.3,68.5,-.021,+10.18,109.3,99.1,+5.30
28,Butler,Horz,26-6,+17.63,111.9,94.3,62.1,-.051,-1.43,103.3,104.7,-4.63
29,Missouri,B12,24-12,+17.49,116.2,98.7,70.1,-.010,+7.92,108.2,100.3,-0.39
30,Wake Forest,ACC,21-13,+17.35,118.6,101.3,69.5,+.006,+11.24,109.3,98.1,+5.85
